ID,Pathway ID,Preference,Reasoning_Preference,Control,Experience,Age,Sex,Necessity ,Reasoning_Necessity,Time
117,answer-4wtf2lvijuxek,Тип №1,"предупреждение до самого сообщения я считаю важным, плюс не перегружено объяснительным текстом, который мало кто будет читать",4,Нет,42,Мужчина,Да,"в подобных текстах может содержаться опасная и ложная информация, которую не каждый способен заметить самостоятельно",400561
118,answer-gbej2lvijv3az,Тип №2,"Коротко и понятно, без лишних слов, сразу воспринимается однозначно ",4,Нет,37,Мужчина,Нет,"Потому что проверять достоверность, должен лично я а не некое ведомство или организация ",81820
119,answer-gbej2lvijvyqg,Тип №2,"важно сначала узнать что не правда, а потом, если уже интересно узнавать почему
",4,Нет,29,Мужчина,Нет,люди сами должны решать во что верить,612451
120,answer-gbej2lvijwju3,Тип №4,"более современный вариант 4й, но первый подойдет всем слоям общества и любому возрасту: простое предупреждение. иначе последним вариантом можно задеть однажды щекотливую тему. кстати пример о ковиде может поднять негативные мысли у людей, потерявших родственников.",4,Нет,45,Женщина,Да,"продолжать ли просмотр-право каждого, но не все обладают критическим мышлением. таким людям будет в помощь предупреждение",229771
121,answer-4wtf2lvijwq5j,Тип №1,"Пояснение нужно, но краткое, как в №1. Длинное всё равно читать никто не будет, только место занимает.",4,Нет,47,Мужчина,Да,"Если есть основания предупредить, то будет полезно. Сейчас много информации, легко попасться на фейк.",215191
122,answer-4wtf2lvijwrtw,Тип №2,краткий и удобный ответ,5,Нет,20,Мужчина,Нет,те кому надо сами найдут,66275
123,answer-gbej2lvijwso9,Тип №2,больше изначального текста перед предупреждением,4,Нет,28,Женщина,Да,почему бы и не выявлять ботов,102031
124,answer-gbej2lvijwxzg,Тип №1,Первый компактный и очень понятный без лишней информации,2,Нет,27,Мужчина,Да,Чтобы не вводить людей в заблуждение,114324
125,answer-4wtf2lvijx452,Тип №1,Потому что если информация противоречит правилам публикации то не должно отражаться само сообщение,4,Да,35,Женщина,Да,"Чтобы они не дезинформировали население
",159923
126,answer-4wtf2lvijx5ch,Тип №3,"Подробное пояснение и при этом всё в одном пункте (не разбито на главы), это удобно ",4,Нет,38,Мужчина,Да,"Много необразованных людей, которые всё воспринимают за чистую монету. Главное не злоупотреблять ради политических целей ",253373
127,answer-gbej2lvijxb9d,Тип №1,"Краткое и понятное предупреждение, лучше подходит! Длинное не кто не будет читать до конца, слишком долго, нудно, подумают ерунда какая-то. К тому же, если предупреждение длиннее самого поста, то это как-то вообще не очень смотрится. Желающие могут кликнуть и получить  дополнительную информацию.",4,Да,40,Мужчина,Нет,"Потому что, люди вправе выражать своё мнение, даже если оно не совпадает с официальным.",1511245
128,answer-4wtf2lvijxccu,Тип №1,"Мне понравился призыв использовать критическое мышление и перепроверять информацию. Это именно то, что мы все должны делать.",4,Да,48,Женщина,Да,"Многие верят тому, чего прочитали и не перепроверяют информацию, даже явно абсурдные и недостоверные посты.",273921
129,answer-4wtf2lvijxw6u,Тип №3,"третий вариант, тк он максимально предупреждает о недостоверной информации",4,Нет,42,Мужчина,Да,"Да, потому что люди верят статьям из интернета, не проверяя источники. Нужно их обезопасить",147285
130,answer-4wtf2lvijy7no,Тип №1,"сначала расположено окно предупреждение, оно сразу бросается в глаза. потом текстовое предупреждение и объяснение ситуации, оно тоже нужно для поддержания хорошего контакта с пользователями",4,Нет,40,Женщина,Да,"да, чтобы пользователь лишний раз проанализировал достоверность",197837
131,answer-gbej2lvijyh85,Тип №2,"Хорошо видно предупреждение, не мешает основному тексту.",5,Нет,32,Женщина,Да,"Потому что это предостерегает людей от ложной информации, особенно детей и подростков.",89358
132,answer-4wtf2lvijyp98,Тип №3,Более информативен,5,Да,22,Мужчина,Да,"В сети очень много недостоверной информации,которая вводит в заблуждение доверчивых пользователей",197674
133,answer-gbej2lvijyry9,Тип №3,"Самый продуктивный вариант. Сначала пользователю в глаза бросается предупреждение, которое он точно не пропустит. Затем более подробная информация представлена в одном окне, не нужно переключаться в другие вкладки, и много скроллить, это очень удобно, и есть больше шансов, что он прочтёт всё, что там написано.",5,Да,41,Мужчина,Да,"Нужно, чтобы доверчивый пользователь знал о возможной дезинформации, чтобы стал работать его критический взгляд.",450604
134,answer-gbej2lvijyvrw,Тип №3,сразу попадается на глаза предупреждающее сообщение,4,Нет,38,Женщина,Да,да потому что сразу будет понятно читать или нет информацию,233486
135,answer-4wtf2lvijyvur,Тип №2,"Самым хорошим был бы вариант: текст поста + предупреждение, что пост может быть не достоверным + ссылка Подробнее, где можно узнать в общем, почему алгоритмы посчитали пост недостоверным. Сам текст поста скрывать не нужно — ведь даже если кто-то его читает, это не значит, что читатель согласен с автором и верит ему. Пояснения-опровержения про то, что такое на самом деле прививки считаю не нужными.",4,Да,40,Женщина,Other,"Только если есть 1000% уверенности, что информация — обман. Например, фейковые фото. В остальном люди уже привыкли к большому количеству чепухи в соцсетях, так что подобные предупреждения особого смысла не имеют.",678737
136,answer-gbej2lvijzb1p,Тип №4,"В выбранном варианте есть вся необходимая информация и удобен способ взаимодействия с ней, путём клика на нужный раздел.",4,Нет,42,Мужчина,Да,"Это необходимо делать, чтобы пользователь получал только качественный и правдивый контент. ",280567
137,answer-4wtf2lvijzigl,Тип №4,более полное обоснование,3,Да,30,Женщина,Да,важно понимать достоверность информации,180486
138,answer-4wtf2lvijzisr,Тип №1,"Есть пояснение, но максимально краткое",4,Нет,40,Мужчина,Нет,Не надо регулировать интернет вообще,190460
139,answer-gbej2lvijzps4,Тип №2,просто и понятно,4,Да,39,Мужчина,Other,"сайты разные, иногда уместно проверять, иногда бесполезно",80812
140,answer-gbej2lvijzx41,Тип №1,"Оптимальный вариант без лишнего текста и сложных конструкций. Предупреждение есть, минимально пояснили, а дальше, уже можно открыть информацию.",4,Нет,22,Мужчина,Other,"""ДА"":
- Может быть полезно. Кому-то;
- Возможно хоть какая-то фильтрация контента.
""НЕТ"":
- Какова гарантия объективности?
- Очередные усложнения интерфейса
- Я не думаю, что большинство будет хоть как-то обращать на это внимание, а уж тем более начинать думать лишь из-за какого-то предупреждения.",970113
141,answer-gbej2lvik0999,Тип №1,коротко и ясно,4,Нет,38,Мужчина,Да,я хочу быть в безопасности,106513
142,answer-4wtf2lvik0ba1,Тип №3,Удобное расположение текста для чтения,4,Да,36,Женщина,Да,"не достоверная информация может привести к нежелательным последствиям, многие могут принять такую информацию за правду ",260273
143,answer-4wtf2lvik0g8i,Тип №4,"идеальный вариант, так как поясняется почему выскочило предупреждение , есть краткий экскурс о том, о чем говорится в посте и обратная связь. Заставит читателя помозговать, осмыслить, и возможно, остудит троллей интернетных",4,Да,35,Женщина,Other,возможно нужно сделать эту функцию ВКЛ-ВЫКЛ в настройках сайта,407238
144,answer-gbej2lvik1dip,Тип №4,Ну тут и предупреждение и пояснение и обратная связь.,3,Нет,39,Мужчина,Да,"Ну а как не отмечать посты, которые вводят в заблуждение, порой в опасное? Ответ ""нет"" на руку только тем, кто в заблуждение вводит.",292537
145,answer-4wtf2lvik1h29,Тип №1,"Здесь коротко и ясно изложена суть запрета, показано минимум публикуемой информации для начала",4,Да,39,Женщина,Да,"есть необразованные люди которые верят всему что пишут, так они хотя бы будут настороже",319959
146,answer-4wtf2lvik1zjx,Тип №1,"было бы неплохо, что перед тем, как прочитать чью-то запись, было предупреждение, а уж после клика можно будет узнать информацию",3,Нет,42,Женщина,Да,потому что это дает человеку понять,228673
147,answer-4wtf2lvik211j,Тип №3,в одном все кратко,4,Нет,33,Мужчина,Нет,я сам знаю все,88440
148,answer-4wtf2lvik2d5e,Тип №2,"Предупреждение заметнее, так как небольшой отрезок текста",4,Да,28,Мужчина,Да,для защиты пользователей,95197
149,answer-4wtf2lvik2gos,Тип №3,имеет дополнительные пояснения,4,Нет,46,Женщина,Да,обязательно надо предупреждать людей,191923
150,answer-gbej2lvik2nso,Тип №3,"есть и сама публикация, и подробный комментарий к ней о возможной недостоверности",5,Нет,40,Мужчина,Да,для возможности сравнения и оценивания информации с разных сторон,343569
151,answer-gbej2lvik2s88,Тип №4,"nfv vj;yj jnghfdbnm ;fkj,e ltqcndbntkmyj 'nj ytljcnjdthyfz byajhvfwbz bkb ytn",4,Нет,49,Женщина,Да,z bvt. ghfdj pyfnm,280969
152,answer-gbej2lvik321w,Тип №1,хз,3,Нет,25,Мужчина,Да,просто,136397
153,answer-4wtf2lvik357k,Тип №3,"лучше выглядит и сразу есть указание на то, почему информация недостоверна",4,Да,39,Женщина,Да,чтобы меньше было фейков,128241
154,answer-gbej2lvik37c5,Тип №3,я хочу понимать суть поста и сама принять решение о его характере,4,Нет,37,Женщина,Да,"Предупреждение необходимо, есть много доверчивых, наивных людей. Особенно дети и пожилые. Они не способны критически мыслить.",262994
155,answer-gbej2lvik3ebo,Тип №2,Наиболее четко и читаемо.,4,Нет,34,Мужчина,Нет,Для объективной оценки информации.,134646
156,answer-4wtf2lvik3sbf,Тип №3,"в выбранном варианте публикуется подробная информация, почему пост считается небезопасным ",2,Нет,20,Женщина,Да,так как с соц сетях часто публикуется опасная или неприятная информация,107824
157,answer-4wtf2lvik3skf,Тип №2,визуально для меня этот вариант вызывает больше доверия,4,Нет,40,Женщина,Да,"да, было бы полезно",195725
158,answer-4wtf2lvik3zhe,Тип №4,"Всё подробно расписано, есть вариант закрыть предупреждение или отправить жалобу",4,Да,25,Мужчина,Да,"Многие люди верят любой информации из интернета, предупреждение заставит задуматься",246225
159,answer-gbej2lvik4fmi,Тип №3,"этот вариант более понятный, есть как короткий вариант ответа, так и дополнительный",2,Нет,19,Женщина,Да,не хотелось бы верить недостоверной информации,94997
160,answer-4wtf2lvik4h7d,Тип №1,Показался визуально наиболее вызывающим доверие.,4,Нет,34,Женщина,Да,"Нужно отмечать, чтобы читающие думали, стоит ли доверять подобным постам.",103529
161,answer-gbej2lvik4s9l,Тип №2,"Очень просто, понятно и без лишней информации которая мне не нужна",4,Да,20,Мужчина,Да,"Пользователи должны сообщать о том что информация может быть недостоверной, для того чтобы не обманывать других людей",93621
162,answer-4wtf2lvik4vcz,Тип №4,В заголовке указано в чём именно недостоверность (вакцина),3,Нет,42,Мужчина,Да,Предупреждение для некомпетентных в тематике пользователей поможет избежать ошибочных действий,-3510259
163,answer-gbej2lvik53gt,Тип №3,"Подробно изложено, почему данная информация недостоверна.",2,Нет,46,Женщина,Да,"Да, потому что это помешает распространению фейков.",177750
164,answer-4wtf2lvik6er7,Тип №1,более понятно и без лишних слов. написано в крации,2,Нет,26,Женщина,Да,простот так,67883
165,answer-4wtf2lvik6f10,Тип №1,В этом варианте сразу бросается в глаза предупреждение и скрывается сам пост,3,Нет,23,Женщина,Да,Потому что это предупреждает распространение ложной информации,207832
166,answer-4wtf2lvik6nup,Тип №1,"более подробное объяснение, чем в первом варианте, но менее объемное и навязчивое, чем  в двух других",4,Нет,36,Женщина,Нет,я против како-либо цензуры,137430
167,answer-gbej2lvik6vmh,Тип №4,В этом ответе содержаться максимально большое количество информаций которая ответит на многие вопросы,4,Нет,28,Мужчина,Other,"нет потому что есть темы где достоверная информация может быть ошибочной или не полноценной, а да только когда информация имеет общепринятый характер ",363307
168,answer-4wtf2lvik6zwf,Тип №4,подробно даны описания предупреждений,4,Нет,42,Мужчина,Да,пользователь должен знать достоверная ли информация,293972
169,answer-gbej2lvik7dqr,Тип №3,"Потому что информация расположена в более удобном порядке и есть исчерпывающее обоснование, почему эта информация недостоверна",5,Нет,34,Женщина,Да,"Потому что люди должны знать, когда пост несет недостоверную информацию ",122705
170,answer-gbej2lvik7o0o,Тип №4,"всё сразу написано,удобно читать",3,Нет,46,Женщина,Да,потому что я предпочитаю быть проинформирована заранее,182540
171,answer-4wtf2lvik7qai,Тип №4,Все объяснения содержатся в самом варианте,4,Нет,35,Мужчина,Нет,"Самостоятельный поиск более ценен, чем автоматический",196178
172,answer-gbej2lvik8g1q,Тип №2,"Можно увидеть текст поста, есть короткое предупреждение. Никакой лишней информации",3,Нет,25,Женщина,Other,Все равно,298349
173,answer-4wtf2lvik8j7w,Тип №4,Более информативно,4,Нет,46,Мужчина,Нет,Лишнее,136247
174,answer-gbej2lvik90lh,Тип №3,"1. усть предупреждение.
2.под постом есть опровергающая информация о вакцине и заболеваниях (из достоверных источников)",5,Да,45,Предпочитаю не говорить,Да,что бы пользователи не велись на определённую недостоверную информацию (мозги будут чистые),412400
175,answer-4wtf2lvik9gyr,Тип №3,исходный текст сохранен и подробно расписано почему текст может содержать недостоверную информацию,4,Да,32,Мужчина,Да,неокрупшие умы или неосведемлонные люди в том или ином вопросе могут принять недостоверную информацию за чистую монету,241575
176,answer-gbej2lvikaewi,Тип №2,"Прежде чем помечать какой-то пост знаком предупреждения, хочется понять, о чём там вообще речь. Я вижу начало статьи автора. Дальше удобно, что есть предупреждение и хотелось бы видеть доп.информацию о его сути, но при наведении на воскл.знак, чтобы всплывало окошко",5,Нет,30,Женщина,Да,"Потому что хочется, чтобы сомнительная информация помечалась и не вводила людей в заблуждение. Но чтобы это было не навязывание, а просто акцент на том, что есть другая точка зрения, которая чем-то подкреплена",426834
177,answer-4wtf2lvikatlx,Тип №2,не сразу отталкивает от прочтения,5,Да,31,Мужчина,Да,в интернете 90% вранье,219748
178,answer-gbej2lvikcaih,Тип №2,"Лично мне, кажется, что люди не станут читать какие то длинные поясняющие тексты о подробностях предупреждений в соц.сетях, поэтому я и выбрала данный вариант.",4,Да,19,Женщина,Да,"Чтоб люди не велись на всякий бред, которого в интернете очень много.",185903
179,answer-4wtf2lvikce0k,Тип №3,"Есть подробное пояснение, почему этот пост нежелателен.",5,Да,30,Мужчина,Да,"Чтобы пользователи знали, что этот контент небезопасен.",128762
180,answer-4wtf2lvikd2p9,Тип №4,"Дом описание, лучше на данном выборе ",3,Да,37,Мужчина,Да,Заострить внимание,123516
181,answer-4wtf2lvikdn19,Тип №3,"я хочу видеть пост в любом случае, мне намного интереснее видеть плохой тейк и сноску под ним, почему это не правда, С ОБЪЯСНЕНИЕМ (читаем твиттер).",4,Да,22,Мужчина,Нет,"я хочу сам решать, доверять мне источнику или нет",243991
182,answer-4wtf2lvikdqct,Тип №2,красивее,2,Нет,31,Мужчина,Да,потому что понятнее будет,54978
183,answer-4wtf2lvikdtya,Тип №4,Мне покажалось что это гораздо развернутное обяснение того что информация является недостоверной. Наличие опций очень порадовало,4,Да,37,Мужчина,Да,чтобы не вводить заблуждение и не разводить конспирологию,239607
184,answer-4wtf2lvikeiv1,Тип №3,Более понравился,3,Да,22,Мужчина,Да,Это может обезопасить,853978
185,answer-4wtf2lvikfvp7,Тип №4,"Есть предупреждение, пояснение и обратная связь и выглядит не громоздко.",4,Нет,47,Мужчина,Да,В интернете часто встречается потенциально не достоверная информация и необходимо предупреждать об этом пользователей сети,642858
186,answer-gbej2lvikgbjp,Тип №1,"коротко удобнее быстрее читать,знак крупнее",4,Да,34,Мужчина,Да,"в сети много малоопытных пользователей, детей",306308
187,answer-gbej2lvikgcsy,Тип №3,"Подобные посты не следует скрывать. Он не несёт в себе экстремизма. Это точка зрения (пусть и основана на ненаучном подходе). Должна быть возможность ознакомится с ним. Иначе это ещё больше разожжет у читателя интерес к этому посту. А уже под постом должна быть альтернативная точка зрения (научно-обоснованная). А читатель уже сам решает, чему верить.",4,Нет,37,Мужчина,Да,"Всё что имеет альтернативу должно быть показано с разных сторон. А то может создаться впечатление, что это безальтернативное утверждение.",906188
188,answer-4wtf2lvikgnde,Тип №3,"Лишний текст точно не нужен и не все будут его читать, достаточно пояснения",4,Нет,30,Мужчина,Нет,Потому что это может использоваться в целях пропаганды,180586
189,answer-gbej2lvikhabb,Тип №3,более развернуто,3,Да,34,Мужчина,Да,это необходимо чтобы обезопасить людей от дезинформации,119250
190,answer-4wtf2lvikhtou,Тип №2,"этот интерфейс проще и понятнее , не имеет лишних нюансов ",4,Нет,20,Мужчина,Да,для пользователя эта информация будет важна,104433
191,answer-4wtf2lviki8b3,Тип №3,"Потому что четко прописано, что недостоверная инфа, а так же ниже приведено объяснение",4,Нет,29,Женщина,Да,"Потому что, люди в большинстве своем доверяют всякому бреду, не фильтруя инфу",144042
192,answer-gbej2lvikih2z,Тип №4,"Мне понравилось, что есть полное объяснение почему публикация считается недостоверной. При этом есть возможность выбрать читать эту информацию и в каком объёме.",4,Нет,42,Женщина,Да,"Не все люди интересуются происходящим вокруг и не всегда критически воспринимают входящую информацию, и могут быть введены в заблуждение. Предупреждение может заставить их задуматься лишний раз и избежать неверных суждений.",429310
193,answer-4wtf2lvikilco,Тип №3,"Короткая четкая фраза предупреждение. А так же что можно ознакомится с дополнительной информацией , если это интересно человеку. Еще понравилось что доп. информация не бледная , как в других вариантах , это улучшает ее читабельность.",4,Нет,41,Женщина,Да,"да, так как в интернете очень много сейчас фейков, а данное предупреждение заставит задуматься и более глубоко изучить вопрос.",491245
194,answer-gbej2lvikj1jj,Тип №4,в этом варианте максимально расписаны причины блокировки,4,Нет,36,Женщина,Да,"да, потому что я не люблю вранье и дезинформацию ",178901
195,answer-gbej2lvikj72j,Тип №3,"В этом варианте плашка с предупреждением видна наиболее хорошо, а потом дается подробное объяснение, чем пост может оказаться вреден. Вообще плашку с предупреждением надо размещать ДО начала поста, чтобы пользователь был заранее предупрежден",4,Нет,40,Мужчина,Да,"В сети слишком много вредной информации и инфлюенсеров, которые ее разносят. Обязательно нужно предупреждать людей, чтобы они были предупреждены",205418
196,answer-gbej2lvikjeu6,Тип №1,"легче читать

",3,Да,18,Мужчина,Да,"не знаю

",107169
197,answer-gbej2lvikkm9f,Тип №1,Самое информативное предупреждение из предложенных,3,Да,28,Мужчина,Да,"
",81865
198,answer-4wtf2lvikollo,Тип №3,Ясность,4,Да,27,Мужчина,Нет,Достоверность,43871
199,answer-4wtf2lviks5bp,Тип №1,"выбираю этот пост, потому что важно включать свое критическое мышление! и хорошо когда об этом напоминают)",4,Нет,47,Женщина,Да,"да, потому что важно думать, прежде чем верить всему что пишут и говорят.",424232
200,answer-4wtf2lviku0n9,Тип №1,более развернут ответ,3,Нет,45,Мужчина,Да,чтобы знать что сообщения не из достоверных источников,187184
201,answer-gbej2lviku56t,Тип №4,более подробно,4,Нет,38,Мужчина,Да,меньше мусорного контента,251173
202,answer-gbej2lviku5c2,Тип №3,Для меня они все одинаковые,4,Да,29,Мужчина,Да,Есть люди которые слабо понимают в безопасности,121959
203,answer-gbej2lviku80y,Тип №2,"Броско и лаконично, нет лишней воды, все понятно и притягивает внимание.",4,Нет,26,Мужчина,Да,"Ну очевидно, что это полезная информация",127236
204,answer-4wtf2lviku95n,Тип №2,2 - коротко и ясно,4,Нет,43,Мужчина,Да,многие люди доверчивы всему,148505
205,answer-gbej2lvikuekq,Тип №1,"Когда плашка скрывает текст поста ее невозможно пропустить, что делает ее максимально полезной",4,Нет,26,Мужчина,Нет,Слишком много работы для соц сети ради ничего,486918
206,answer-gbej2lvikuet7,Тип №3,"приводится подробное объяснение, почему статья может содержать ложную информацию",4,Нет,40,Мужчина,Да,поможет предотвратить преступления связанные с фейк информацией,117884
207,answer-gbej2lvikuf3f,Тип №4,понятнее текст,4,Нет,22,Женщина,Нет,нет потому что это может быть спам,175850
208,answer-gbej2lvikughe,Тип №4,"Все варианты подсказок(объяснений) вынесены в отдельные шапки в блоке, что делать страницу меньше и делает доступным все объяснения на одном экране(странице) без скроллинга, что экономит время и клики",3,Нет,30,Мужчина,Да,"Пояснения всегда полезны, а уж решать человек будем сам.",296664
209,answer-gbej2lvikumno,Тип №4,"Предупреждение стоит вначале, его хорошо видно.",4,Нет,38,Мужчина,Other,"Вопрос сложный, с одной стороны это конечно полезно, с другой стороны многих это предупреждение либо просто оттолкнет от поста, либо заставит изначально относится к информации в посте с недоверием. не совсем понятно, по какому принципу это предупреждение выставляется, поэтому сложно ответить на этот вопрос однозначно.",520203
210,answer-4wtf2lvikv7fs,Тип №2,визуально более приятный и ненавязчивый вариант с предупреждением,4,Нет,33,Женщина,Нет,думаю человек сам может сделать вывод,312135
211,answer-4wtf2lvikvwis,Тип №3,"Дополнительные пояснения на одной страничке, их можно скрыть - открыть. очень удобно что не отображается отдельном окне доп. информация. Для меня было бы достаточно пометки красным о возможно недостоверной информации. ",4,Да,31,Женщина,Да,"Сейчас очень много недостоверной информации в интернете, особенно важные новости СМИ. Было бы отлично если бы была пометка официальной информации о событиях.",278654
212,answer-4wtf2lvikw6id,Тип №4,Потому что предупреждается  именно о чем пост  может содержать недостоврную информацию,4,Да,46,Мужчина,Да,"Для предупреждения, что пост  может  обманывать.",235122
213,answer-gbej2lvikwqgh,Тип №2,просто и действенно,4,Нет,28,Женщина,Нет,каждый сам решает что читает. смысла нет,95317
214,answer-4wtf2lvikzuv1,Тип №4,более подробно,4,Нет,38,Мужчина,Да,потому что не желательное,178676
215,answer-4wtf2lvil4veu,Тип №1,"Коротко и ясно, плюсом то, что доступ к посту сразу закрыт",5,Нет,31,Женщина,Да,"Потому что пользователю сразу поясняют, что этот пост может быть небезопасен",453625
216,answer-gbej2lvilk7e7,Тип №3,"Все коротко и ясно,не нужно долго и много читать",4,Нет,23,Мужчина,Да,Много людей которые ведутся на фейки и верят этому,80945
217,answer-4g22lvjfl3ua,Тип №2,"Крупнее. Открывается только тем, кому действительно интересно. Экономит пространство в сети Интернет.",5,Да,31,Женщина,Да,Потому что люди очень доверчивые. Главное чтобы не помечались посты такой меткой с достоверной информацией.,136661
218,answer-4j4jz2lvjfl4yc,Тип №2,"кратко, лаконично",4,Нет,48,Женщина,Да,полезно для пользователя,61632
219,answer-4j4jz2lvjfl5ag,Тип №2,"Я бы предпочла сначала прочитать сообщение, а затем увидеть предупреждение. Причина - я хочу сама оценить насколько информация правдоподобна.",4,Нет,39,Женщина,Other,"нет - потому что непонятно, кто решил, что информация недостоврена",159715
220,answer-4j4jz2lvjfl6jj,Тип №4,"понравилось, что есть подробное описание. и на мой взгляд из всех представленных типов этот наиболее подробный, понятный и качественный",2,Да,19,Женщина,Да,потому что в интернете много недостоверной информации и следует помечать такой контент соответсвующими маркерами,158353
221,answer-4g22lvjfl71y,Тип №3,"кратко написано предупреждение, а кого заинтересует может почитать причину",4,Нет,37,Женщина,Да,не встречала такие посты или не замечала,334025
222,answer-4g22lvjfl8di,Тип №4,на мой взгляд лучший вариант,3,Нет,27,Мужчина,Да,чтобы обезопасить людей,54586
223,answer-4g22lvjflagi,Тип №3,"Под предупреждением о недостоверной информации имеется пояснение с официальными данными по вопросу, обсуждаемому в посте. Это помогает бороться с заблуждениями и домыслами ",4,Нет,36,Мужчина,Да,"Да, потому что в информационной среде много недостоверной информации",268169
224,answer-4g22lvjflahb,Тип №3,"не нужно никуда дополнительно нажимать, чтобы прочитать пост, при этом пометка стоит перед текстом",4,Нет,32,Мужчина,Да,"чтобы люди не велись на фейк ньюс, считаю что такие пометки нужны",131867
225,answer-4g22lvjflbq2,Тип №1,предупреждение вначале и текста не слишком много,2,Да,42,Женщина,Да,Чтобы распознать заранее недостоверный контент,172366
226,answer-4j4jz2lvjflcgd,Тип №3,"Видно сам пост, можно ознакомиться, есть весьма заметное предупреждение о возможной недостоверности этого поста, так же имеется весьма подробное пояснение что не так, выглядит удобочитаемым.",4,Да,36,Мужчина,Да,"Помечать все подряд кажется излишним, но некоторые сообщения могут нанести реальный вред здоровью, особенно на медицинские темы, таким надо пояснять, что это не истина в последней инстанции.",370527
227,answer-4g22lvjfldd2,Тип №3,"потому что ответ на комментарий развернутый, не оскорбительный, но при этом полностью опровергает написанное автором",4,Нет,39,Женщина,Да,"нужно, чтобы не вводить в заблуждение тех, кто это прочтет",297531
228,answer-4j4jz2lvjfldm3,Тип №2,"все кратко и понятно, нет лишней инфы. и каждый сам решает делать то, что считает нужным и правильным ",4,Нет,39,Женщина,Да,"я думаю, что это именно для меня важно. чтобы сопоставить то, что написано с предупреждением и проанализировать ",264835
229,answer-4j4jz2lvjflf6u,Тип №1,"Информация отображена кратко, емко и понятно. Человек не готов уделять время длинным текстам, поэтому воспринимать более короткую, но "" по делу"" информацию проще",3,Да,29,Женщина,Да,"потому что в настоящее время люди слишком доверяют тому, что написано в Сети и предупреждения помогают более тщательно фильтровать получаемую информацию",166434
230,answer-4j4jz2lvjflfwo,Тип №2,"Просто предупреждения достаточно, подробно мало кто будет читать",4,Нет,34,Мужчина,Да,"Если посты могут нести вред здоровье, нужно пометить",244738
231,answer-4j4jz2lvjflgsi,Тип №1,Оптимально обозначено почему в тексте может содержаться недостоверная информация. И расписано это кратко,4,Нет,41,Женщина,Да,"Что бы люди понимали, что не стоит доверять всей информации встречающейся в соцсетях",235110
232,answer-4g22lvjflhvy,Тип №4,вариант 4 раскрывает более подробную информацию о том почему информация является не верной и есть контраргумент а так же есть обратная связь если есть неоспоримые  доказательства  у автора статьи,4,Да,36,Мужчина,Да,потому что нужно предупреждать о статьях в вводящих заблуждение,718813
233,answer-4j4jz2lvjflkuu,Тип №3,"Мне понравился больше этот вариант. Здесь можно прочитать сообщение пользователя, а под плашкой предупреждения почитать информацию о вакцинах. В Тип1 нельзя прочитать сообщение пользователя. В Тип2 просто предупреждение без разъяснений. Тип4 в целом понравился, но не видно сообщение пользователя. Было бы хорошо скомбинировать Тип4 и Тип3.",4,Да,34,Женщина,Да,"В целом было бы неплохо к подобным сообщениям ставить пометку, но пользователь уже сам должен решать полезна ему эта информация, согласен ли он с ней или нет.",465586
234,answer-4j4jz2lvjfllit,Тип №1,"Уместно предупредить о недостоверной информации ДО текста, чем после.",4,Да,33,Женщина,Да,"Потому что очевидное очевидно не для всех. Важно отмечать, что информация касается лженауки, конспирологии и т.д.",398576
235,answer-4j4jz2lvjfllqx,Тип №1,"Кратко, не вызывает дальнейших вопросов. Человек сам выберет, надо ему читать такой контент или нет. Еще неплохой ответ под номером 3, когда расписаны аргументы, подтверждающие некорректность суждения, но неплохо было бы указать источник сведений.",4,Да,46,Женщина,Да,"Хотя бы потому что, человек задумается о правдивости представленной информации. А дальше уже дело за ним, верить или включать критическое мышление и искать ответы.",543513
236,answer-4j4jz2lvjflm7l,Тип №4,более развернутая дополнительная информация,4,Нет,39,Мужчина,Да,люди должны быть проинформированы,156181
237,answer-4g22lvjfln1k,Тип №4,больше всего вариантов и закрыть можно и отправить жалобу а не просто предупрежение,4,Нет,30,Мужчина,Нет,можно манипулировать точкой зрения нужной повесткой,256337
238,answer-4j4jz2lvjflqek,Тип №1,Более точно и быстро дает понять почему этот пост нежелатилен к прочтению. При этом закрывает пост и при желании лишь можно его открыть,5,Нет,22,Женщина,Да,Считаю это очень полезным. Помогает лишний раз не наткнуться на недостоверную информацию,295668
239,answer-4j4jz2lvjflqyu,Тип №3,3 тип потому что дает дополнительные пояснения,3,Нет,25,Женщина,Да,"потому что в современном мире много статей и новостей с недостоверной информацией, а также просто с мыслями и рассуждениями, и некоторые люди воспринимают любую информацию как истину, без фильтрации",485604
240,answer-4g22lvjflz6x,Тип №4,"Этот вариант считаю лучшим, потому что предупреждение в нём находится перед текстом сообщения и таким образом лучше обращает на себя внимание. В то же время само сообщение не закрыто от пользователя, как в варианте №4, и читатель сразу может составить примерное представление о его содержании.",4,Нет,40,Женщина,Да,"В интернете слишком много информации, в том числе недостоверной. Я считаю, что подобные сообщения помогут пользователю более критично относиться к содержанию того, что он читает, а также упростят ему поиск источника информации.",455491
241,answer-4j4jz2lvjfmhfa,Тип №1,"Потому что  там предупреждаю, что контент не достоверную информацию запостил    ",4,Нет,40,Женщина,Да,Потому что так точно будем знать  что это не достоверная информация,385938
242,answer-4g22lvjfmivv,Тип №1,Вариант с подробным описанием о мошенничестве представлен в этом варианте .,2,Да,30,Женщина,Да,Информации нужна дополнительная информация о предупреждения о мошенничестве.,133739
